Date,Day,Time,Download speed (Mbps),Upload speed (Mbps)
08-July-2020,Wednesday,20:34:56,30.01,30.01
08-July-2020,Wednesday,20:36:26,32.01,32.01
08-July-2020,Wednesday,21:04:32,21.79,21.79
08-July-2020,Wednesday,21:05:02,40.81,40.81
08-July-2020,Wednesday,21:05:32,32.93,32.93
08-July-2020,Wednesday,21:06:02,33.31,33.31
08-July-2020,Wednesday,21:06:32,33.27,33.27
08-July-2020,Wednesday,21:07:02,39.24,39.24
08-July-2020,Wednesday,21:07:33,38.22,38.22
08-July-2020,Wednesday,21:08:03,40.56,40.56
08-July-2020,Wednesday,21:08:32,39.93,39.93
08-July-2020,Wednesday,21:09:03,41.28,41.28
08-July-2020,Wednesday,21:09:33,38.13,38.13
08-July-2020,Wednesday,21:54:49,30.82,30.82
08-July-2020,Wednesday,21:55:19,33.09,33.09
